mc16_5TeV.pp.420010.JZ0R04.recon.AOD.e4108_s3238_r11199_Tree.root 6.7890E+10 9.9713E-01 1E+06
mc16_5TeV.pp.420011.JZ1R04.recon.AOD.e4108_s3238_r11199_Tree.root 6.7890E+10 2.8748E-03 8E+06
mc16_5TeV.pp.420011.JZ1R04.recon.AOD.e6608_s3238_r11199_Tree.root 6.7890E+10 2.8748E-03 8E+06
mc16_5TeV.pp.420012.JZ2R04.recon.AOD.e4108_s3238_r11199_Tree.root 6.3996E+08 4.2952E-03 8E+06
mc16_5TeV.pp.420012.JZ2R04.recon.AOD.e6608_s3238_r11199_Tree.root 6.3996E+08 4.2952E-03 8E+06
mc16_5TeV.pp.420013.JZ3R04.recon.AOD.e4108_s3238_r11199_Tree.root 4.7195E+06 5.2994E-03 8E+06
mc16_5TeV.pp.420013.JZ3R04.recon.AOD.e6608_s3238_r11199_Tree.root 4.7195E+06 5.2994E-03 8E+06
mc16_5TeV.pp.420014.JZ4R04.recon.AOD.e4108_s3238_r11199_Tree.root 2.6602E+04 4.5901E-03 8E+06
mc16_5TeV.pp.420014.JZ4R04.recon.AOD.e6608_s3238_r11199_Tree.root 2.6602E+04 4.5901E-03 8E+06
mc16_5TeV.pp.420015.JZ5R04.recon.AOD.e4108_s3238_r11199_Tree.root 2.2476E+02 2.1846E-03 8E+06
mc16_5TeV.pp.420015.JZ5R04.recon.AOD.e6608_s3238_r11199_Tree.root 2.2476E+02 2.1846E-03 8E+06
mc16_5TeV.pPb.420010.JZ0R04.merge.AOD.e8362_d1667_r12722_r11932_Tree.root 6.7890E+10 9.9726E-01 948391 
mc16_5TeV.pPb.420011.JZ1R04.merge.AOD.e8362_d1667_r12722_r11932_Tree.root 6.7890E+10 2.8689E-03 1896580
mc16_5TeV.pPb.420012.JZ2R04.merge.AOD.e8362_d1667_r12722_r11932_Tree.root 6.3996E+08 4.2950E-03 1896580
mc16_5TeV.pPb.420013.JZ3R04.merge.AOD.e8362_d1667_r12722_r11932_Tree.root 4.7197E+06 5.3006E-03 1895631
mc16_5TeV.pPb.420011.JZ1R04.recon.AOD.e8362_s3701_r12721_Tree.root 6.7890E+10 2.8689E-03 2E+06
mc16_5TeV.pPb.420012.JZ2R04.recon.AOD.e8362_s3701_r12721_Tree.root 6.3996E+08 4.2950E-03 2E+06
mc16_5TeV.pPb.420013.JZ3R04.recon.AOD.e8362_s3701_r12721_Tree.root 4.7197E+06 5.3006E-03 2E+06
