   15GeVJets   gt0p5_lt1     80-100%    0.828708  0.00656103    0.791717%
   15GeVJets   gt0p5_lt1      60-80%     1.02499  0.00635397    0.619905%
   15GeVJets   gt0p5_lt1      40-60%     0.98311  0.00588698    0.598812%
   15GeVJets   gt0p5_lt1      20-40%    0.851393  0.00541359    0.635851%
   15GeVJets   gt0p5_lt1       0-20%    0.724143  0.00505257    0.697731%
   15GeVJets   gt1_lt1p5     80-100%    0.789202  0.00859959     1.08966%
   15GeVJets   gt1_lt1p5      60-80%     1.05978  0.00850566    0.802583%
   15GeVJets   gt1_lt1p5      40-60%      1.0911  0.00808253    0.740767%
   15GeVJets   gt1_lt1p5      20-40%    0.996393  0.00756571     0.75931%
   15GeVJets   gt1_lt1p5       0-20%    0.880914  0.00712805    0.809165%
   15GeVJets   gt1p5_lt2     80-100%    0.770593   0.0116234     1.50837%
   15GeVJets   gt1p5_lt2      60-80%     1.05947   0.0114921      1.0847%
   15GeVJets   gt1p5_lt2      40-60%     1.14524   0.0111148    0.970519%
   15GeVJets   gt1p5_lt2      20-40%     1.09026   0.0105651    0.969043%
   15GeVJets   gt1p5_lt2       0-20%    0.980214  0.00999517     1.01969%
   15GeVJets     gt2_lt4     80-100%    0.712568   0.0108715     1.52567%
   15GeVJets     gt2_lt4      60-80%    0.981005    0.010545     1.07492%
   15GeVJets     gt2_lt4      40-60%       1.075   0.0101827    0.947229%
   15GeVJets     gt2_lt4      20-40%     1.05049  0.00975945    0.929035%
   15GeVJets     gt2_lt4       0-20%    0.967466   0.0093103    0.962339%
   15GeVJets     gt4_lt6     80-100%    0.571597    0.024276     4.24704%
   15GeVJets     gt4_lt6      60-80%    0.694865   0.0217854      3.1352%
   15GeVJets     gt4_lt6      40-60%    0.738248   0.0202637     2.74483%
   15GeVJets     gt4_lt6      20-40%    0.691156   0.0190118     2.75073%
   15GeVJets     gt4_lt6       0-20%    0.618754   0.0180082     2.91039%
   15GeVJets     gt6_lt8     80-100%    0.561611   0.0445129     7.92594%
   15GeVJets     gt6_lt8      60-80%    0.541983     0.03693     6.81387%
   15GeVJets     gt6_lt8      40-60%    0.526322   0.0330177     6.27329%
   15GeVJets     gt6_lt8      20-40%    0.467197   0.0304737     6.52266%
   15GeVJets     gt6_lt8       0-20%    0.387767    0.028423     7.32993%
   15GeVJets    gt8_lt10     80-100%    0.481354   0.0669363     13.9058%
   15GeVJets    gt8_lt10      60-80%    0.437617   0.0547581     12.5128%
   15GeVJets    gt8_lt10      40-60%    0.418596   0.0483913     11.5604%
   15GeVJets    gt8_lt10      20-40%     0.32094   0.0433774     13.5157%
   15GeVJets    gt8_lt10       0-20%    0.231791   0.0397258     17.1387%
   15GeVJets   gt10_lt15     80-100%    0.523743   0.0800497     15.2842%
   15GeVJets   gt10_lt15      60-80%    0.390453   0.0618082     15.8298%
   15GeVJets   gt10_lt15      40-60%    0.456188   0.0572006     12.5388%
   15GeVJets   gt10_lt15      20-40%    0.294336   0.0488827     16.6078%
   15GeVJets   gt10_lt15       0-20%    0.318569   0.0483671     15.1826%
   15GeVJets   gt15_lt20     80-100%    0.290785    0.147422     50.6981%
   15GeVJets   gt15_lt20      60-80%    0.544194    0.137283     25.2269%
   15GeVJets   gt15_lt20      40-60%    0.443522     0.11655     26.2783%
   15GeVJets   gt15_lt20      20-40%    0.422025    0.108516     25.7131%
   15GeVJets   gt15_lt20       0-20%    0.232856     0.09358     40.1879%
   15GeVJets   gt20_lt30     80-100%  -0.0525634    0.170731     -324.81%
   15GeVJets   gt20_lt30      60-80%    0.352547    0.172357     48.8891%
   15GeVJets   gt20_lt30      40-60%    0.270867    0.142979     52.7857%
   15GeVJets   gt20_lt30      20-40%   0.0869675    0.118666     136.449%
   15GeVJets   gt20_lt30       0-20%   0.0534692    0.111259     208.081%
