   60GeVJets   gt0p5_lt1     80-100%    0.259683  0.00845528       3.256%
   60GeVJets   gt0p5_lt1      60-80%    0.311953  0.00729649     2.33897%
   60GeVJets   gt0p5_lt1      40-60%    0.177513  0.00637599     3.59184%
   60GeVJets   gt0p5_lt1      20-40%  -0.0279587  0.00587887     -21.027%
   60GeVJets   gt0p5_lt1       0-20%   -0.163504  0.00573508    -3.50762%
   60GeVJets   gt1_lt1p5     80-100%    0.254539   0.0106632     4.18922%
   60GeVJets   gt1_lt1p5      60-80%    0.319721   0.0090852     2.84161%
   60GeVJets   gt1_lt1p5      40-60%    0.231104  0.00796382       3.446%
   60GeVJets   gt1_lt1p5      20-40%   0.0585683  0.00734112     12.5343%
   60GeVJets   gt1_lt1p5       0-20%  -0.0192596  0.00723886    -37.5858%
   60GeVJets   gt1p5_lt2     80-100%    0.178189   0.0134466     7.54629%
   60GeVJets   gt1p5_lt2      60-80%    0.296651   0.0113981     3.84226%
   60GeVJets   gt1p5_lt2      40-60%    0.248642  0.00992617     3.99215%
   60GeVJets   gt1p5_lt2      20-40%    0.132684  0.00916838     6.90995%
   60GeVJets   gt1p5_lt2       0-20%    0.056772  0.00901043     15.8712%
   60GeVJets     gt2_lt4     80-100%    0.135068   0.0113998     8.44003%
   60GeVJets     gt2_lt4      60-80%    0.225475  0.00926254     4.10801%
   60GeVJets     gt2_lt4      40-60%    0.210908  0.00786287     3.72811%
   60GeVJets     gt2_lt4      20-40%    0.126319  0.00713269     5.64655%
   60GeVJets     gt2_lt4       0-20%   0.0892634  0.00696273      7.8002%
   60GeVJets     gt4_lt6     80-100%   0.0746589   0.0215033     28.8021%
   60GeVJets     gt4_lt6      60-80%   0.0401629   0.0156962     39.0813%
   60GeVJets     gt4_lt6      40-60%   0.0780244   0.0130072     16.6707%
   60GeVJets     gt4_lt6      20-40%  0.00623744   0.0112136     179.778%
   60GeVJets     gt4_lt6       0-20%   0.0156648   0.0108268     69.1156%
   60GeVJets     gt6_lt8     80-100%   0.0520915   0.0339993     65.2684%
   60GeVJets     gt6_lt8      60-80% -0.00178973   0.0240809     -1345.5%
   60GeVJets     gt6_lt8      40-60%   0.0224077   0.0191453     85.4407%
   60GeVJets     gt6_lt8      20-40%  -0.0155001   0.0164008    -105.811%
   60GeVJets     gt6_lt8       0-20%  0.00263466   0.0156362     593.479%
   60GeVJets    gt8_lt10     80-100%  -0.0186056   0.0464761    -249.797%
   60GeVJets    gt8_lt10      60-80%   -0.040256   0.0329337    -81.8106%
   60GeVJets    gt8_lt10      40-60%  -0.0389842    0.025694    -65.9088%
   60GeVJets    gt8_lt10      20-40%  -0.0413301   0.0224001     -54.198%
   60GeVJets    gt8_lt10       0-20%  -0.0570692   0.0209421     -36.696%
   60GeVJets   gt10_lt15     80-100%  -0.0262628   0.0476428    -181.408%
   60GeVJets   gt10_lt15      60-80%   0.0144723   0.0352325     243.448%
   60GeVJets   gt10_lt15      40-60%-0.000367736   0.0267739    -7280.75%
   60GeVJets   gt10_lt15      20-40%  -0.0881062   0.0224537    -25.4848%
   60GeVJets   gt10_lt15       0-20%  -0.0249101   0.0216246    -86.8105%
   60GeVJets   gt15_lt20     80-100%   -0.195374   0.0723195     -37.016%
   60GeVJets   gt15_lt20      60-80%  -0.0130048   0.0583848    -448.947%
   60GeVJets   gt15_lt20      40-60%  -0.0685839   0.0431399     -62.901%
   60GeVJets   gt15_lt20      20-40%  -0.0967929   0.0367145     -37.931%
   60GeVJets   gt15_lt20       0-20%   -0.049351   0.0352754    -71.4786%
   60GeVJets   gt20_lt30     80-100%   -0.336644   0.0847168    -25.1651%
   60GeVJets   gt20_lt30      60-80%  -0.0653834   0.0720471    -110.192%
   60GeVJets   gt20_lt30      40-60%  -0.0395329   0.0567916    -143.656%
   60GeVJets   gt20_lt30      20-40%  -0.0954128   0.0474966    -49.7801%
   60GeVJets   gt20_lt30       0-20%  -0.0893258   0.0447242    -50.0687%
