   30GeVJets   gt0p5_lt1     80-100%    0.606566   0.0127646     2.10441%
   30GeVJets   gt0p5_lt1      60-80%     0.69299   0.0120782     1.74291%
   30GeVJets   gt0p5_lt1      40-60%    0.552602   0.0108118     1.95653%
   30GeVJets   gt0p5_lt1      20-40%    0.420001  0.00988786     2.35425%
   30GeVJets   gt0p5_lt1       0-20%    0.255496  0.00906263     3.54707%
   30GeVJets   gt1_lt1p5     80-100%    0.543936   0.0161416     2.96755%
   30GeVJets   gt1_lt1p5      60-80%    0.681629   0.0154878     2.27218%
   30GeVJets   gt1_lt1p5      40-60%    0.635561   0.0143981     2.26542%
   30GeVJets   gt1_lt1p5      20-40%     0.51782   0.0132898      2.5665%
   30GeVJets   gt1_lt1p5       0-20%    0.405964   0.0125229     3.08474%
   30GeVJets   gt1p5_lt2     80-100%    0.530447   0.0214908     4.05145%
   30GeVJets   gt1p5_lt2      60-80%    0.698358   0.0206984     2.96387%
   30GeVJets   gt1p5_lt2      40-60%    0.699884   0.0195922     2.79935%
   30GeVJets   gt1p5_lt2      20-40%    0.630201   0.0184818     2.93268%
   30GeVJets   gt1p5_lt2       0-20%    0.526403   0.0174923     3.32299%
   30GeVJets     gt2_lt4     80-100%    0.465729   0.0190859     4.09808%
   30GeVJets     gt2_lt4      60-80%    0.595478   0.0177976      2.9888%
   30GeVJets     gt2_lt4      40-60%    0.629047   0.0169145     2.68892%
   30GeVJets     gt2_lt4      20-40%     0.61497   0.0162657     2.64496%
   30GeVJets     gt2_lt4       0-20%    0.527931   0.0154585     2.92813%
   30GeVJets     gt4_lt6     80-100%    0.359662   0.0391912     10.8967%
   30GeVJets     gt4_lt6      60-80%    0.419579   0.0342939     8.17339%
   30GeVJets     gt4_lt6      40-60%    0.400624   0.0311077     7.76483%
   30GeVJets     gt4_lt6      20-40%    0.375296   0.0293832     7.82934%
   30GeVJets     gt4_lt6       0-20%    0.291831   0.0275666     9.44609%
   30GeVJets     gt6_lt8     80-100%     0.30529   0.0678186     22.2145%
   30GeVJets     gt6_lt8      60-80%    0.337121    0.057522     17.0627%
   30GeVJets     gt6_lt8      40-60%    0.307321   0.0509436     16.5766%
   30GeVJets     gt6_lt8      20-40%    0.271714   0.0478072     17.5947%
   30GeVJets     gt6_lt8       0-20%    0.226986   0.0452546     19.9372%
   30GeVJets    gt8_lt10     80-100%    0.355104    0.103265     29.0803%
   30GeVJets    gt8_lt10      60-80%    0.279408   0.0832344     29.7896%
   30GeVJets    gt8_lt10      40-60%    0.276703   0.0752867     27.2085%
   30GeVJets    gt8_lt10      20-40%    0.229877   0.0694676     30.2195%
   30GeVJets    gt8_lt10       0-20%    0.201008   0.0660849     32.8768%
   30GeVJets   gt10_lt15     80-100%    0.106609   0.0996181     93.4427%
   30GeVJets   gt10_lt15      60-80%    0.150564   0.0848347     56.3448%
   30GeVJets   gt10_lt15      40-60%    0.194335   0.0780085     40.1413%
   30GeVJets   gt10_lt15      20-40%     0.12423   0.0692876     55.7736%
   30GeVJets   gt10_lt15       0-20%    0.208929   0.0728726     34.8792%
   30GeVJets   gt15_lt20     80-100%    -0.31455    0.143632    -45.6625%
   30GeVJets   gt15_lt20      60-80%    0.127004    0.157051     123.658%
   30GeVJets   gt15_lt20      40-60%  -0.0206909    0.128306     -620.11%
   30GeVJets   gt15_lt20      20-40%     0.14416    0.133905     92.8865%
   30GeVJets   gt15_lt20       0-20%   0.0250239    0.116828     466.865%
   30GeVJets   gt20_lt30     80-100%   -0.361271    0.189839    -52.5476%
   30GeVJets   gt20_lt30      60-80%   -0.395309     0.15115    -38.2359%
   30GeVJets   gt20_lt30      40-60%   -0.286379    0.137785    -48.1129%
   30GeVJets   gt20_lt30      20-40%   -0.896274   0.0525793    -5.86643%
   30GeVJets   gt20_lt30       0-20%    -0.19922    0.134881    -67.7044%
